Index,Lever position (lp)_27,Ship speed (v) [knots]_27,Gas Turbine (GT) shaft torque (GTT) [kN m]_27,GT rate of revolutions (GTn) [rpm]_27,Gas Generator rate of revolutions (GGn) [rpm]_27,Starboard Propeller Torque (Ts) [kN]_27,Port Propeller Torque (Tp) [kN]_27,Hight Pressure (HP) Turbine exit temperature (T48) [C]_27,GT Compressor inlet air temperature (T1) [C]_27,GT Compressor outlet air temperature (T2) [C]_27,HP Turbine exit pressure (P48) [bar]_27,GT Compressor inlet air pressure (P1) [bar]_27,GT Compressor outlet air pressure (P2) [bar]_27,GT exhaust gas pressure (Pexh) [bar]_27,Turbine Injecton Control (TIC) [%]_27,Fuel flow (mf) [kg/s]_27,GT Compressor decay state coefficient_27,GT Turbine decay state coefficient_27
108,9.3,27,72771.813,3560.429,9787.008,644.825,644.825,1105.967,288,787.555,4.484,0.998,22.511,1.049,91.391,1.809,0.95,0.986
117,9.3,27,72772.94,3560.423,9787.758,645.069,645.069,1105.089,288,787.42,4.483,0.998,22.484,1.049,91.287,1.807,0.95,0.987
126,9.3,27,72773.589,3560.429,9788.5,645.021,645.021,1104.213,288,787.286,4.482,0.998,22.457,1.049,91.183,1.805,0.95,0.988
135,9.3,27,72773.853,3560.434,9789.231,645.058,645.058,1103.336,288,787.152,4.48,0.998,22.43,1.049,91.079,1.803,0.95,0.989
144,9.3,27,72774.979,3560.434,9789.971,644.927,644.927,1102.466,288,787.019,4.479,0.998,22.404,1.049,90.975,1.801,0.95,0.99
153,9.3,27,72775.879,3560.436,9790.704,645.046,645.046,1101.598,288,786.887,4.478,0.998,22.377,1.049,90.872,1.799,0.95,0.991
162,9.3,27,72775.917,3560.44,9791.421,644.946,644.946,1100.727,288,786.755,4.477,0.998,22.35,1.049,90.768,1.797,0.95,0.992
171,9.3,27,72776.92,3560.436,9792.146,644.936,644.936,1099.863,288,786.625,4.476,0.998,22.323,1.049,90.666,1.795,0.95,0.993
180,9.3,27,72777.297,3560.443,9792.862,645.143,645.143,1098.999,288,786.495,4.474,0.998,22.297,1.049,90.563,1.793,0.95,0.994
189,9.3,27,72778.944,3560.457,9793.593,644.866,644.866,1098.146,288,786.367,4.473,0.998,22.27,1.049,90.461,1.791,0.95,0.995
198,9.3,27,72779.364,3560.563,9794.325,645.15,645.15,1097.297,288,786.24,4.472,0.998,22.244,1.049,90.36,1.789,0.95,0.996
207,9.3,27,72782.59,3560.741,9795.105,645.236,645.236,1096.477,288,786.117,4.471,0.998,22.218,1.049,90.263,1.787,0.95,0.997
216,9.3,27,72781.391,3560.72,9795.778,644.884,644.884,1095.609,288,785.988,4.47,0.998,22.192,1.049,90.159,1.785,0.95,0.998
225,9.3,27,72779.536,3560.712,9796.44,645.18,645.18,1094.742,288,785.859,4.468,0.998,22.165,1.049,90.054,1.783,0.95,0.999
234,9.3,27,72777.956,3560.703,9797.103,645.03,645.03,1093.878,288,785.731,4.467,0.998,22.139,1.049,89.951,1.781,0.95,1
243,9.3,27,72762.165,3560.402,9777.322,645.048,645.048,1114.609,288,788.722,4.499,0.998,22.818,1.049,92.476,1.831,0.951,0.975
252,9.3,27,72763.29,3560.403,9778.122,644.723,644.723,1113.705,288,788.577,4.498,0.998,22.79,1.049,92.369,1.828,0.951,0.976
261,9.3,27,72763.629,3560.411,9778.908,644.805,644.805,1112.799,288,788.433,4.496,0.998,22.763,1.049,92.261,1.826,0.951,0.977
270,9.3,27,72764.89,3560.408,9779.7,645.036,645.036,1111.9,288,788.291,4.495,0.998,22.735,1.049,92.155,1.824,0.951,0.978
279,9.3,27,72766.064,3560.409,9780.488,644.737,644.737,1111.004,288,788.149,4.494,0.998,22.708,1.049,92.049,1.822,0.951,0.979
288,9.3,27,72767.009,3560.409,9781.268,644.792,644.792,1110.108,288,788.007,4.493,0.998,22.681,1.049,91.943,1.82,0.951,0.98
297,9.3,27,72768.023,3560.413,9782.046,644.998,644.998,1109.216,288,787.867,4.492,0.998,22.653,1.049,91.838,1.818,0.951,0.981
306,9.3,27,72767.558,3560.427,9782.8,645.058,645.058,1108.319,288,787.727,4.49,0.998,22.626,1.049,91.731,1.816,0.951,0.982
315,9.3,27,72769.398,3560.419,9783.579,644.79,644.79,1107.436,288,787.589,4.489,0.998,22.599,1.049,91.627,1.814,0.951,0.983
324,9.3,27,72770.122,3560.42,9784.34,645.067,645.067,1106.549,288,787.451,4.488,0.998,22.572,1.049,91.521,1.812,0.951,0.984
333,9.3,27,72770.67,3560.426,9785.095,645.064,645.064,1105.665,288,787.313,4.487,0.998,22.544,1.049,91.416,1.81,0.951,0.985
342,9.3,27,72772.093,3560.423,9785.857,644.768,644.768,1104.787,288,787.177,4.485,0.998,22.518,1.049,91.312,1.808,0.951,0.986
351,9.3,27,72772.935,3560.424,9786.607,645.057,645.057,1103.908,288,787.042,4.484,0.998,22.491,1.049,91.208,1.806,0.951,0.987
360,9.3,27,72773.322,3560.429,9787.348,644.897,644.897,1103.03,288,786.907,4.483,0.998,22.464,1.049,91.104,1.803,0.951,0.988
369,9.3,27,72774.147,3560.43,9788.09,645.135,645.135,1102.156,288,786.773,4.482,0.998,22.437,1.049,91,1.801,0.951,0.989
378,9.3,27,72775.064,3560.427,9788.829,644.876,644.876,1101.285,288,786.639,4.481,0.998,22.41,1.049,90.896,1.799,0.951,0.99
387,9.3,27,72774.75,3560.436,9789.549,645.035,645.035,1100.41,288,786.506,4.479,0.998,22.383,1.049,90.792,1.797,0.951,0.991
396,9.3,27,72776.613,3560.43,9790.293,645.021,645.021,1099.549,288,786.375,4.478,0.998,22.357,1.049,90.69,1.795,0.951,0.992
405,9.3,27,72776.725,3560.438,9791.012,644.823,644.823,1098.682,288,786.243,4.477,0.998,22.33,1.049,90.586,1.793,0.951,0.993
414,9.3,27,72777.624,3560.435,9791.735,645.057,645.057,1097.82,288,786.113,4.476,0.998,22.303,1.049,90.483,1.791,0.951,0.994
423,9.3,27,72778.089,3560.441,9792.452,644.816,644.816,1096.959,288,785.983,4.474,0.998,22.277,1.049,90.381,1.789,0.951,0.995
432,9.3,27,72778.688,3560.446,9793.166,645.024,645.024,1096.101,288,785.854,4.473,0.998,22.25,1.049,90.278,1.787,0.951,0.996
441,9.3,27,72780.629,3560.493,9793.905,645.178,645.178,1095.258,288,785.728,4.472,0.998,22.224,1.049,90.178,1.785,0.951,0.997
450,9.3,27,72781.069,3560.651,9794.645,644.94,644.94,1094.419,288,785.603,4.471,0.998,22.198,1.049,90.078,1.783,0.951,0.998
459,9.3,27,72783.338,3560.74,9795.386,645.249,645.249,1093.588,288,785.479,4.47,0.998,22.172,1.049,89.979,1.781,0.951,0.999
468,9.3,27,72781.851,3560.726,9796.052,645.213,645.213,1092.724,288,785.35,4.468,0.998,22.146,1.049,89.875,1.779,0.951,1
477,9.3,27,72762.643,3560.396,9776.138,644.899,644.899,1113.433,288,788.352,4.5,0.998,22.824,1.049,92.397,1.829,0.952,0.975
486,9.3,27,72763.295,3560.399,9776.934,645.042,645.042,1112.526,288,788.206,4.499,0.998,22.797,1.049,92.29,1.827,0.952,0.976
495,9.3,27,72763.637,3560.409,9777.724,644.991,644.991,1111.62,288,788.062,4.498,0.998,22.769,1.049,92.182,1.825,0.952,0.977
504,9.3,27,72765.039,3560.405,9778.522,644.761,644.761,1110.722,288,787.918,4.496,0.998,22.742,1.049,92.076,1.823,0.952,0.978
513,9.3,27,72766.238,3560.403,9779.313,644.928,644.928,1109.825,288,787.776,4.495,0.998,22.714,1.049,91.97,1.821,0.952,0.979
522,9.3,27,72766.5,3560.412,9780.088,644.742,644.742,1108.927,288,787.634,4.494,0.998,22.687,1.049,91.864,1.818,0.952,0.98
531,9.3,27,72767.398,3560.417,9780.868,645.036,645.036,1108.034,288,787.493,4.493,0.998,22.66,1.049,91.758,1.816,0.952,0.981
540,9.3,27,72767.837,3560.417,9781.636,644.854,644.854,1107.141,288,787.352,4.492,0.998,22.632,1.049,91.652,1.814,0.952,0.982
549,9.3,27,72768.956,3560.42,9782.41,644.767,644.767,1106.255,288,787.213,4.49,0.998,22.605,1.049,91.547,1.812,0.952,0.983
558,9.3,27,72769.11,3560.428,9783.167,644.773,644.773,1105.365,288,787.074,4.489,0.998,22.578,1.049,91.441,1.81,0.952,0.984
567,9.3,27,72771.07,3560.421,9783.943,644.779,644.779,1104.488,288,786.937,4.488,0.998,22.551,1.049,91.337,1.808,0.952,0.985
576,9.3,27,72771.59,3560.425,9784.697,645.124,645.124,1103.606,288,786.8,4.487,0.998,22.524,1.049,91.233,1.806,0.952,0.986
585,9.3,27,72772.233,3560.426,9785.447,644.845,644.845,1102.726,288,786.664,4.485,0.998,22.497,1.049,91.128,1.804,0.952,0.987
594,9.3,27,72773.113,3560.428,9786.198,645.119,645.119,1101.85,288,786.529,4.484,0.998,22.47,1.049,91.024,1.802,0.952,0.988
603,9.3,27,72773.849,3560.428,9786.942,644.896,644.896,1100.976,288,786.394,4.483,0.998,22.443,1.049,90.92,1.8,0.952,0.989
612,9.3,27,72774.135,3560.436,9787.677,644.791,644.791,1100.103,288,786.26,4.482,0.998,22.416,1.049,90.816,1.798,0.952,0.99
621,9.3,27,72774.949,3560.438,9788.415,644.979,644.979,1099.234,288,786.127,4.481,0.998,22.39,1.049,90.712,1.796,0.952,0.991
630,9.3,27,72776.226,3560.433,9789.154,645.111,645.111,1098.37,288,785.995,4.479,0.998,22.363,1.049,90.61,1.794,0.952,0.992
639,9.3,27,72776.541,3560.438,9789.878,644.854,644.854,1097.503,288,785.863,4.478,0.998,22.336,1.049,90.507,1.792,0.952,0.993
648,9.3,27,72777.528,3560.437,9790.606,644.813,644.813,1096.642,288,785.732,4.477,0.998,22.31,1.049,90.404,1.79,0.952,0.994
657,9.3,27,72778.465,3560.438,9791.331,644.83,644.83,1095.783,288,785.602,4.476,0.998,22.283,1.049,90.302,1.788,0.952,0.995
666,9.3,27,72779.115,3560.439,9792.047,645.125,645.125,1094.925,288,785.473,4.474,0.998,22.257,1.049,90.199,1.786,0.952,0.996
675,9.3,27,72779.72,3560.44,9792.759,645.171,645.171,1094.069,288,785.344,4.473,0.998,22.23,1.049,90.097,1.784,0.952,0.997
684,9.3,27,72781.524,3560.454,9793.489,644.888,644.888,1093.224,288,785.217,4.472,0.998,22.204,1.049,89.997,1.782,0.952,0.998
693,9.3,27,72781.979,3560.547,9794.213,644.878,644.878,1092.381,288,785.091,4.471,0.998,22.178,1.049,89.896,1.78,0.952,0.999
702,9.3,27,72784.872,3560.74,9794.991,645.206,645.206,1091.566,288,784.969,4.47,0.998,22.152,1.049,89.799,1.778,0.952,1
711,9.3,27,72761.919,3560.397,9774.937,645.054,645.054,1112.253,288,787.982,4.501,0.998,22.831,1.049,92.317,1.827,0.953,0.975
720,9.3,27,72763.608,3560.393,9775.751,645.005,645.005,1111.352,288,787.836,4.5,0.998,22.803,1.049,92.211,1.825,0.953,0.976
729,9.3,27,72763.282,3560.407,9776.536,645.061,645.061,1110.442,288,787.691,4.499,0.998,22.776,1.049,92.103,1.823,0.953,0.977
738,9.3,27,72765.007,3560.405,9777.342,645.071,645.071,1109.546,288,787.547,4.498,0.998,22.748,1.049,91.997,1.821,0.953,0.978
747,9.3,27,72765.953,3560.404,9778.133,644.82,644.82,1108.648,288,787.404,4.497,0.998,22.721,1.049,91.891,1.819,0.953,0.979
756,9.3,27,72766.525,3560.41,9778.916,644.793,644.793,1107.751,288,787.261,4.495,0.998,22.694,1.049,91.785,1.817,0.953,0.98
765,9.3,27,72766.931,3560.415,9779.692,644.741,644.741,1106.856,288,787.119,4.494,0.998,22.666,1.049,91.678,1.815,0.953,0.981
774,9.3,27,72768.73,3560.413,9780.482,644.805,644.805,1105.971,288,786.979,4.493,0.998,22.639,1.049,91.574,1.813,0.953,0.982
783,9.3,27,72768.895,3560.418,9781.246,644.808,644.808,1105.078,288,786.839,4.492,0.998,22.612,1.049,91.468,1.811,0.953,0.983
792,9.3,27,72769.513,3560.426,9782.013,644.917,644.917,1104.192,288,786.7,4.49,0.998,22.585,1.049,91.362,1.809,0.953,0.984
801,9.3,27,72770.231,3560.425,9782.776,644.891,644.891,1103.308,288,786.561,4.489,0.998,22.557,1.049,91.258,1.806,0.953,0.985
810,9.3,27,72771.707,3560.422,9783.545,645.131,645.131,1102.431,288,786.424,4.488,0.998,22.53,1.049,91.154,1.804,0.953,0.986
819,9.3,27,72772.009,3560.427,9784.295,644.797,644.797,1101.549,288,786.287,4.487,0.998,22.503,1.049,91.049,1.802,0.953,0.987
828,9.3,27,72772.545,3560.432,9785.044,644.791,644.791,1100.672,288,786.151,4.485,0.998,22.477,1.049,90.944,1.8,0.953,0.988
837,9.3,27,72774.047,3560.426,9785.8,645.031,645.031,1099.802,288,786.017,4.484,0.998,22.45,1.049,90.841,1.798,0.953,0.989
846,9.3,27,72774.657,3560.433,9786.544,644.867,644.867,1098.93,288,785.882,4.483,0.998,22.423,1.049,90.737,1.796,0.953,0.99
855,9.3,27,72774.824,3560.439,9787.276,644.961,644.961,1098.058,288,785.748,4.482,0.998,22.396,1.049,90.633,1.794,0.953,0.991
864,9.3,27,72775.436,3560.437,9788.009,644.841,644.841,1097.19,288,785.615,4.481,0.998,22.369,1.049,90.53,1.792,0.953,0.992
873,9.3,27,72776.4,3560.439,9788.745,645.07,645.07,1096.327,288,785.483,4.479,0.998,22.343,1.049,90.427,1.79,0.953,0.993
882,9.3,27,72777.346,3560.439,9789.476,645.121,645.121,1095.466,288,785.352,4.478,0.998,22.316,1.049,90.325,1.788,0.953,0.994
891,9.3,27,72778.649,3560.435,9790.208,645.113,645.113,1094.609,288,785.222,4.477,0.998,22.29,1.049,90.223,1.786,0.953,0.995
900,9.3,27,72779.356,3560.435,9790.928,644.834,644.834,1093.752,288,785.092,4.476,0.998,22.263,1.049,90.12,1.784,0.953,0.996
909,9.3,27,72779.974,3560.439,9791.644,644.822,644.822,1092.896,288,784.962,4.475,0.998,22.237,1.049,90.018,1.782,0.953,0.997
918,9.3,27,72780.874,3560.435,9792.359,645.119,645.119,1092.044,288,784.834,4.473,0.998,22.21,1.049,89.917,1.78,0.953,0.998
927,9.3,27,72781.758,3560.434,9793.07,644.999,644.999,1091.194,288,784.706,4.472,0.998,22.184,1.049,89.815,1.778,0.953,0.999
936,9.3,27,72782.758,3560.486,9793.792,645.143,645.143,1090.352,288,784.58,4.471,0.998,22.158,1.049,89.715,1.776,0.953,1
945,9.3,27,72761.803,3560.396,9773.746,644.992,644.992,1111.079,288,787.613,4.503,0.998,22.837,1.049,92.238,1.826,0.954,0.975
954,9.3,27,72762.405,3560.404,9774.551,644.746,644.746,1110.173,288,787.466,4.501,0.998,22.81,1.049,92.131,1.824,0.954,0.976
963,9.3,27,72763.718,3560.403,9775.359,644.723,644.723,1109.272,288,787.321,4.5,0.998,22.782,1.049,92.024,1.822,0.954,0.977
972,9.3,27,72765.26,3560.401,9776.167,644.782,644.782,1108.375,288,787.177,4.499,0.998,22.755,1.049,91.919,1.82,0.954,0.978
981,9.3,27,72765.742,3560.404,9776.955,644.756,644.756,1107.474,288,787.033,4.498,0.998,22.727,1.049,91.812,1.817,0.954,0.979
990,9.3,27,72766.131,3560.412,9777.738,645.09,645.09,1106.576,288,786.889,4.497,0.998,22.7,1.049,91.705,1.815,0.954,0.98
999,9.3,27,72766.704,3560.419,9778.521,644.873,644.873,1105.682,288,786.747,4.495,0.998,22.673,1.049,91.599,1.813,0.954,0.981
1008,9.3,27,72768.156,3560.413,9779.308,645.066,645.066,1104.794,288,786.606,4.494,0.998,22.645,1.049,91.494,1.811,0.954,0.982
1017,9.3,27,72769.034,3560.414,9780.085,645.074,645.074,1103.906,288,786.466,4.493,0.998,22.618,1.049,91.389,1.809,0.954,0.983
1026,9.3,27,72770.119,3560.417,9780.861,644.812,644.812,1103.022,288,786.326,4.492,0.998,22.591,1.049,91.284,1.807,0.954,0.984
1035,9.3,27,72770.826,3560.42,9781.627,645.069,645.069,1102.138,288,786.187,4.49,0.998,22.564,1.049,91.179,1.805,0.954,0.985
1044,9.3,27,72771.409,3560.422,9782.388,644.777,644.777,1101.256,288,786.049,4.489,0.998,22.537,1.049,91.074,1.803,0.954,0.986
1053,9.3,27,72772.409,3560.421,9783.15,645.081,645.081,1100.379,288,785.912,4.488,0.998,22.51,1.049,90.97,1.801,0.954,0.987
1062,9.3,27,72773.14,3560.422,9783.904,645.044,645.044,1099.502,288,785.776,4.487,0.998,22.483,1.049,90.866,1.799,0.954,0.988
1071,9.3,27,72773.091,3560.434,9784.646,644.81,644.81,1098.624,288,785.639,4.486,0.998,22.456,1.049,90.761,1.797,0.954,0.989
1080,9.3,27,72774.632,3560.426,9785.402,645.002,645.002,1097.757,288,785.505,4.484,0.998,22.429,1.049,90.658,1.795,0.954,0.99
1089,9.3,27,72774.45,3560.438,9786.134,644.966,644.966,1096.883,288,785.37,4.483,0.998,22.403,1.049,90.554,1.793,0.954,0.991
1098,9.3,27,72776.098,3560.434,9786.885,644.875,644.875,1096.022,288,785.237,4.482,0.998,22.376,1.049,90.451,1.791,0.954,0.992
1107,9.3,27,72776.548,3560.434,9787.615,644.821,644.821,1095.155,288,785.104,4.481,0.998,22.349,1.049,90.348,1.788,0.954,0.993
1116,9.3,27,72776.714,3560.444,9788.341,644.995,644.995,1094.291,288,784.972,4.479,0.998,22.323,1.049,90.245,1.786,0.954,0.994
1125,9.3,27,72778.707,3560.435,9789.084,645.114,645.114,1093.438,288,784.842,4.478,0.998,22.296,1.049,90.144,1.784,0.954,0.995
1134,9.3,27,72779.347,3560.436,9789.806,645.14,645.14,1092.58,288,784.711,4.477,0.998,22.27,1.049,90.041,1.782,0.954,0.996
1143,9.3,27,72779.939,3560.434,9790.523,644.985,644.985,1091.723,288,784.581,4.476,0.998,22.243,1.049,89.939,1.78,0.954,0.997
1152,9.3,27,72780.397,3560.437,9791.237,645.009,645.009,1090.869,288,784.452,4.475,0.998,22.217,1.049,89.837,1.778,0.954,0.998
1161,9.3,27,72780.809,3560.444,9791.947,645.15,645.15,1090.017,288,784.324,4.473,0.998,22.191,1.049,89.735,1.776,0.954,0.999
1170,9.3,27,72782.999,3560.433,9792.674,645.182,645.182,1089.177,288,784.197,4.472,0.998,22.164,1.049,89.635,1.774,0.954,1
1179,9.3,27,72761.969,3560.395,9772.56,644.966,644.966,1109.91,288,787.246,4.504,0.998,22.844,1.049,92.16,1.824,0.955,0.975
1188,9.3,27,72763.021,3560.395,9773.373,644.735,644.735,1109.005,288,787.099,4.503,0.998,22.816,1.049,92.053,1.822,0.955,0.976
1197,9.3,27,72764.217,3560.393,9774.182,645,645,1108.103,288,786.953,4.501,0.998,22.789,1.049,91.946,1.82,0.955,0.977
1206,9.3,27,72764.623,3560.404,9774.98,644.958,644.958,1107.201,288,786.807,4.5,0.998,22.761,1.049,91.839,1.818,0.955,0.978
1215,9.3,27,72764.991,3560.41,9775.77,644.776,644.776,1106.3,288,786.662,4.499,0.998,22.734,1.049,91.732,1.816,0.955,0.979
1224,9.3,27,72766.446,3560.408,9776.57,645.061,645.061,1105.408,288,786.519,4.498,0.998,22.707,1.049,91.627,1.814,0.955,0.98
1233,9.3,27,72766.933,3560.411,9777.353,645.02,645.02,1104.512,288,786.376,4.497,0.998,22.679,1.049,91.521,1.812,0.955,0.981
1242,9.3,27,72767.881,3560.414,9778.139,645.099,645.099,1103.622,288,786.234,4.495,0.998,22.652,1.049,91.415,1.81,0.955,0.982
1251,9.3,27,72769.266,3560.415,9778.927,644.853,644.853,1102.738,288,786.094,4.494,0.998,22.625,1.049,91.31,1.808,0.955,0.983
1260,9.3,27,72769.711,3560.415,9779.696,645.004,645.004,1101.849,288,785.953,4.493,0.998,22.598,1.049,91.205,1.805,0.955,0.984
1269,9.3,27,72770.405,3560.416,9780.465,644.843,644.843,1100.965,288,785.814,4.492,0.998,22.57,1.049,91.1,1.803,0.955,0.985
1278,9.3,27,72771.577,3560.422,9781.239,645.078,645.078,1100.087,288,785.675,4.49,0.998,22.543,1.049,90.995,1.801,0.955,0.986
1287,9.3,27,72772.059,3560.426,9781.997,645.053,645.053,1099.207,288,785.537,4.489,0.998,22.516,1.049,90.891,1.799,0.955,0.987
1296,9.3,27,72773.227,3560.421,9782.759,645.042,645.042,1098.333,288,785.401,4.488,0.998,22.49,1.049,90.787,1.797,0.955,0.988
1305,9.3,27,72772.874,3560.434,9783.5,645.119,645.119,1097.453,288,785.263,4.487,0.998,22.463,1.049,90.682,1.795,0.955,0.989
1314,9.3,27,72774.071,3560.432,9784.256,645.088,645.088,1096.585,288,785.128,4.486,0.998,22.436,1.049,90.579,1.793,0.955,0.99
1323,9.3,27,72775.355,3560.428,9785.008,645.036,645.036,1095.718,288,784.994,4.484,0.998,22.409,1.049,90.476,1.791,0.955,0.991
1332,9.3,27,72776.326,3560.431,9785.754,645.078,645.078,1094.853,288,784.86,4.483,0.998,22.382,1.049,90.373,1.789,0.955,0.992
1341,9.3,27,72776.831,3560.435,9786.49,644.851,644.851,1093.988,288,784.727,4.482,0.998,22.356,1.049,90.27,1.787,0.955,0.993
1350,9.3,27,72778.185,3560.428,9787.231,645.133,645.133,1093.129,288,784.595,4.481,0.998,22.329,1.049,90.168,1.785,0.955,0.994
1359,9.3,27,72778.558,3560.432,9787.957,644.809,644.809,1092.267,288,784.463,4.479,0.998,22.303,1.049,90.065,1.783,0.955,0.995
1368,9.3,27,72779.64,3560.432,9788.689,645.046,645.046,1091.412,288,784.332,4.478,0.998,22.276,1.049,89.963,1.781,0.955,0.996
1377,9.3,27,72779.442,3560.436,9789.399,644.966,644.966,1090.551,288,784.201,4.477,0.998,22.25,1.049,89.86,1.779,0.955,0.997
1386,9.3,27,72780.381,3560.439,9790.122,644.833,644.833,1089.7,288,784.072,4.476,0.998,22.223,1.049,89.758,1.777,0.955,0.998
1395,9.3,27,72781.369,3560.438,9790.841,645.175,645.175,1088.851,288,783.943,4.475,0.998,22.197,1.049,89.657,1.775,0.955,0.999
1404,9.3,27,72782.166,3560.438,9791.554,645.057,645.057,1088.003,288,783.815,4.473,0.998,22.171,1.049,89.556,1.773,0.955,1
1413,9.3,27,72761.809,3560.392,9771.369,644.71,644.71,1108.742,288,786.879,4.505,0.998,22.851,1.049,92.081,1.823,0.956,0.975
1422,9.3,27,72762.415,3560.397,9772.179,644.822,644.822,1107.834,288,786.731,4.504,0.998,22.823,1.049,91.974,1.821,0.956,0.976
1431,9.3,27,72763.444,3560.396,9772.99,644.847,644.847,1106.931,288,786.584,4.503,0.998,22.795,1.049,91.867,1.819,0.956,0.977
1440,9.3,27,72764.464,3560.401,9773.799,644.945,644.945,1106.032,288,786.438,4.501,0.998,22.768,1.049,91.76,1.816,0.956,0.978
1449,9.3,27,72765.34,3560.403,9774.599,644.989,644.989,1105.134,288,786.293,4.5,0.998,22.74,1.049,91.654,1.814,0.956,0.979
1458,9.3,27,72766.237,3560.404,9775.395,645.041,645.041,1104.238,288,786.149,4.499,0.998,22.713,1.049,91.548,1.812,0.956,0.98
1467,9.3,27,72766.532,3560.415,9776.181,644.779,644.779,1103.343,288,786.005,4.498,0.998,22.686,1.049,91.441,1.81,0.956,0.981
1476,9.3,27,72767.515,3560.413,9776.969,644.839,644.839,1102.453,288,785.863,4.497,0.998,22.658,1.049,91.336,1.808,0.956,0.982
1485,9.3,27,72769.109,3560.408,9777.762,645.092,645.092,1101.569,288,785.722,4.495,0.998,22.631,1.049,91.231,1.806,0.956,0.983
1494,9.3,27,72769.382,3560.418,9778.534,644.75,644.75,1100.68,288,785.581,4.494,0.998,22.604,1.049,91.126,1.804,0.956,0.984
1503,9.3,27,72770.717,3560.419,9779.316,644.916,644.916,1099.8,288,785.441,4.493,0.998,22.577,1.049,91.021,1.802,0.956,0.985
1512,9.3,27,72770.783,3560.422,9780.075,645.002,645.002,1098.915,288,785.302,4.492,0.998,22.55,1.049,90.916,1.8,0.956,0.986
1521,9.3,27,72771.834,3560.423,9780.845,645.118,645.118,1098.038,288,785.163,4.49,0.998,22.523,1.049,90.812,1.798,0.956,0.987
1530,9.3,27,72773.11,3560.424,9781.614,644.893,644.893,1097.165,288,785.026,4.489,0.998,22.496,1.049,90.708,1.796,0.956,0.988
1539,9.3,27,72774.125,3560.422,9782.373,645.136,645.136,1096.293,288,784.89,4.488,0.998,22.469,1.049,90.604,1.794,0.956,0.989
1548,9.3,27,72774.309,3560.429,9783.12,645.145,645.145,1095.419,288,784.753,4.487,0.998,22.442,1.049,90.5,1.791,0.956,0.99
1557,9.3,27,72774.985,3560.435,9783.869,645.013,645.013,1094.55,288,784.618,4.486,0.998,22.416,1.049,90.397,1.789,0.956,0.991
1566,9.3,27,72775.958,3560.432,9784.617,644.797,644.797,1093.684,288,784.484,4.484,0.998,22.389,1.049,90.294,1.787,0.956,0.992
1575,9.3,27,72776.563,3560.434,9785.356,645.098,645.098,1092.819,288,784.35,4.483,0.998,22.362,1.049,90.191,1.785,0.956,0.993
1584,9.3,27,72777.544,3560.432,9786.096,645.154,645.154,1091.958,288,784.217,4.482,0.998,22.336,1.049,90.088,1.783,0.956,0.994
1593,9.3,27,72778.863,3560.432,9786.838,644.825,644.825,1091.102,288,784.085,4.481,0.998,22.309,1.049,89.986,1.781,0.956,0.995
